Organization : org4
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh>, <energy production in MWh>
202201010000, 186, 163
202201010015, 199, 155
202201010030, 178, 177
202201010045, 191, 175
202201010100, 186, 178
202201010115, 177, 169
202201010130, 187, 167
202201010145, 185, 175
202201010200, 176, 176
202201010215, 177, 178
202201010230, 171, 174
202201010245, 179, 163
202201010300, 174, 162
202201010315, 191, 177
202201010330, 181, 161
202201010345, 182, 176
202201010400, 189, 167
202201010415, 200, 163
202201010430, 182, 164
202201010445, 199, 168
202201010500, 178, 151
202201010515, 187, 167
202201010530, 200, 171
202201010545, 185, 172
202201010600, 184, 155
202201010615, 194, 178
202201010630, 175, 161
202201010645, 193, 167
202201010700, 175, 156
202201010715, 181, 168
202201010730, 181, 165
202201010745, 185, 151
202201010800, 198, 156
202201010815, 193, 168
202201010830, 190, 163
202201010845, 176, 171
202201010900, 198, 162
202201010915, 182, 157
202201010930, 197, 167
202201010945, 195, 167
202201011000, 184, 154
202201011015, 182, 151
202201011030, 178, 171
202201011045, 194, 158
202201011100, 190, 155
202201011115, 196, 173
202201011130, 185, 171
202201011145, 193, 159
202201011200, 176, 162
202201011215, 175, 159
202201011230, 178, 169
202201011245, 192, 163
202201011300, 173, 164
202201011315, 188, 170
202201011330, 180, 164
202201011345, 199, 177
202201011400, 192, 151
202201011415, 192, 179
202201011430, 189, 175
202201011445, 192, 171
202201011500, 185, 164
202201011515, 197, 158
202201011530, 179, 179
202201011545, 172, 160
202201011600, 184, 173
202201011615, 174, 161
202201011630, 184, 162
202201011645, 194, 166
202201011700, 179, 166
202201011715, 186, 158
202201011730, 185, 177
202201011745, 186, 156
202201011800, 187, 169
202201011815, 180, 160
202201011830, 184, 171
202201011845, 180, 171
202201011900, 182, 156
202201011915, 196, 164
202201011930, 178, 160
202201011945, 189, 151
202201012000, 193, 170
202201012015, 184, 161
202201012030, 174, 174
202201012045, 186, 162
202201012100, 183, 161
202201012115, 193, 160
202201012130, 189, 157
202201012145, 180, 156
202201012200, 188, 163
202201012215, 178, 151
202201012230, 193, 166
202201012245, 182, 162
202201012300, 174, 167
202201012315, 189, 168
202201012330, 179, 152
202201012345, 187, 163
202201020000, 176, 158
202201020015, 171, 163
202201020030, 177, 153
202201020045, 182, 153
202201020100, 195, 154
202201020115, 176, 178
202201020130, 192, 179
202201020145, 179, 152
202201020200, 178, 176
202201020215, 183, 156
202201020230, 179, 165
202201020245, 189, 176
202201020300, 178, 177
202201020315, 180, 169
202201020330, 180, 155
202201020345, 191, 163
202201020400, 196, 159
202201020415, 183, 163
202201020430, 178, 175
202201020445, 182, 151
202201020500, 176, 157
202201020515, 178, 152
202201020530, 183, 161
202201020545, 176, 175
202201020600, 196, 167
202201020615, 175, 160
202201020630, 171, 160
202201020645, 174, 161
202201020700, 189, 151
202201020715, 186, 151
202201020730, 185, 151
202201020745, 200, 177
202201020800, 185, 156
202201020815, 188, 176
202201020830, 194, 154
202201020845, 176, 160
202201020900, 171, 165
202201020915, 172, 163
202201020930, 199, 164
202201020945, 198, 154
202201021000, 180, 160
202201021015, 183, 175
202201021030, 180, 173
202201021045, 186, 174
202201021100, 200, 161
202201021115, 174, 165
202201021130, 188, 168
202201021145, 193, 164
202201021200, 182, 159
202201021215, 185, 178
202201021230, 174, 154
202201021245, 188, 169
202201021300, 175, 170
202201021315, 192, 159
202201021330, 194, 167
202201021345, 182, 161
202201021400, 183, 158
202201021415, 194, 150
202201021430, 193, 160
202201021445, 185, 161
202201021500, 175, 164
202201021515, 175, 159
202201021530, 178, 165
202201021545, 191, 179
202201021600, 177, 176
202201021615, 179, 175
202201021630, 185, 178
202201021645, 192, 153
202201021700, 185, 177
202201021715, 190, 161
202201021730, 188, 160
202201021745, 200, 163
202201021800, 173, 155
202201021815, 195, 156
202201021830, 199, 159
202201021845, 171, 170
202201021900, 175, 170
202201021915, 188, 153
202201021930, 196, 164
202201021945, 173, 168
202201022000, 179, 163
202201022015, 178, 156
202201022030, 190, 163
202201022045, 200, 176
202201022100, 190, 177
202201022115, 196, 174
202201022130, 187, 153
202201022145, 189, 171
202201022200, 192, 166
202201022215, 195, 174
202201022230, 199, 167
202201022245, 185, 157
202201022300, 183, 165
202201022315, 185, 151
202201022330, 172, 175
202201022345, 183, 152
202201030000, 173, 169
202201030015, 195, 172
202201030030, 175, 173
202201030045, 196, 176
202201030100, 196, 178
202201030115, 177, 163
202201030130, 198, 160
202201030145, 171, 161
202201030200, 180, 160
202201030215, 189, 174
202201030230, 193, 152
202201030245, 193, 162
202201030300, 178, 176
202201030315, 177, 153
202201030330, 186, 150
202201030345, 192, 171
202201030400, 188, 178
202201030415, 175, 152
202201030430, 193, 156
202201030445, 173, 158
202201030500, 187, 152
202201030515, 175, 159
202201030530, 188, 150
202201030545, 173, 154
202201030600, 179, 176
202201030615, 188, 165
202201030630, 198, 177
202201030645, 188, 160
202201030700, 184, 155
202201030715, 196, 157
202201030730, 197, 164
202201030745, 180, 177
202201030800, 184, 150
202201030815, 177, 174
202201030830, 178, 156
202201030845, 197, 157
202201030900, 175, 150
202201030915, 198, 155
202201030930, 188, 171
202201030945, 185, 168
202201031000, 177, 167
202201031015, 192, 175
202201031030, 172, 153
202201031045, 179, 152
202201031100, 183, 164
202201031115, 175, 156
202201031130, 185, 176
202201031145, 176, 156
202201031200, 188, 173
202201031215, 190, 155
202201031230, 173, 174
202201031245, 179, 154
202201031300, 200, 173
202201031315, 199, 168
202201031330, 184, 150
202201031345, 176, 152
202201031400, 175, 169
202201031415, 195, 157
202201031430, 185, 178
202201031445, 190, 176
202201031500, 181, 168
202201031515, 199, 177
202201031530, 189, 157
202201031545, 195, 170
202201031600, 184, 153
202201031615, 191, 168
202201031630, 178, 168
202201031645, 181, 161
202201031700, 178, 172
202201031715, 195, 155
202201031730, 192, 168
202201031745, 173, 160
202201031800, 199, 150
202201031815, 171, 154
202201031830, 175, 173
202201031845, 179, 164
202201031900, 194, 173
202201031915, 186, 169
202201031930, 183, 150
202201031945, 187, 158
202201032000, 198, 167
202201032015, 194, 167
202201032030, 199, 152
202201032045, 180, 172
202201032100, 195, 155
202201032115, 178, 152
202201032130, 190, 174
202201032145, 181, 173
202201032200, 193, 166
202201032215, 180, 171
202201032230, 180, 167
202201032245, 174, 168
202201032300, 190, 151
202201032315, 176, 168
202201032330, 185, 178
202201032345, 193, 178
202201040000, 174, 163
202201040015, 195, 155
202201040030, 197, 156
202201040045, 177, 169
202201040100, 174, 167
202201040115, 183, 176
202201040130, 172, 150
202201040145, 183, 162
202201040200, 172, 173
202201040215, 186, 152
202201040230, 173, 171
202201040245, 198, 173
202201040300, 182, 176
202201040315, 190, 152
202201040330, 191, 178
202201040345, 186, 160
202201040400, 193, 173
202201040415, 194, 153
202201040430, 171, 158
202201040445, 184, 171
202201040500, 190, 174
