Organization : org3
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh>, <energy production in MWh>
202201010000, 187, 126
202201010015, 189, 151
202201010030, 186, 149
202201010045, 172, 142
202201010100, 194, 125
202201010115, 166, 145
202201010130, 190, 131
202201010145, 170, 148
202201010200, 171, 125
202201010215, 175, 134
202201010230, 172, 135
202201010245, 184, 140
202201010300, 179, 126
202201010315, 173, 130
202201010330, 176, 131
202201010345, 165, 139
202201010400, 184, 143
202201010415, 169, 129
202201010430, 191, 139
202201010445, 176, 144
202201010500, 167, 151
202201010515, 191, 130
202201010530, 170, 142
202201010545, 169, 129
202201010600, 186, 128
202201010615, 184, 129
202201010630, 191, 150
202201010645, 165, 138
202201010700, 168, 129
202201010715, 188, 154
202201010730, 187, 141
202201010745, 179, 139
202201010800, 183, 151
202201010815, 172, 125
202201010830, 184, 126
202201010845, 188, 126
202201010900, 176, 129
202201010915, 184, 149
202201010930, 186, 147
202201010945, 167, 153
202201011000, 181, 127
202201011015, 172, 131
202201011030, 191, 154
202201011045, 177, 132
202201011100, 180, 144
202201011115, 165, 140
202201011130, 187, 126
202201011145, 191, 138
202201011200, 190, 153
202201011215, 191, 149
202201011230, 192, 140
202201011245, 168, 127
202201011300, 187, 147
202201011315, 176, 141
202201011330, 171, 140
202201011345, 178, 154
202201011400, 168, 146
202201011415, 174, 144
202201011430, 188, 149
202201011445, 169, 152
202201011500, 174, 141
202201011515, 175, 135
202201011530, 190, 141
202201011545, 192, 137
202201011600, 179, 143
202201011615, 169, 144
202201011630, 186, 144
202201011645, 189, 138
202201011700, 171, 130
202201011715, 178, 125
202201011730, 181, 133
202201011745, 181, 125
202201011800, 176, 149
202201011815, 191, 154
202201011830, 180, 154
202201011845, 184, 137
202201011900, 169, 150
202201011915, 187, 137
202201011930, 166, 125
202201011945, 168, 147
202201012000, 168, 135
202201012015, 178, 148
202201012030, 182, 137
202201012045, 174, 128
202201012100, 182, 147
202201012115, 172, 137
202201012130, 169, 149
202201012145, 171, 136
202201012200, 182, 154
202201012215, 181, 148
202201012230, 167, 130
202201012245, 171, 127
202201012300, 187, 137
202201012315, 167, 127
202201012330, 188, 150
202201012345, 193, 133
202201020000, 169, 131
202201020015, 193, 144
202201020030, 192, 145
202201020045, 188, 140
202201020100, 187, 148
202201020115, 170, 127
202201020130, 174, 154
202201020145, 185, 130
202201020200, 192, 127
202201020215, 171, 131
202201020230, 168, 141
202201020245, 188, 139
202201020300, 177, 139
202201020315, 181, 134
202201020330, 187, 135
202201020345, 180, 149
202201020400, 165, 139
202201020415, 194, 136
202201020430, 177, 137
202201020445, 188, 149
202201020500, 168, 129
202201020515, 193, 149
202201020530, 172, 139
202201020545, 175, 131
202201020600, 168, 135
202201020615, 168, 134
202201020630, 176, 126
202201020645, 180, 129
202201020700, 189, 138
202201020715, 187, 140
202201020730, 169, 128
202201020745, 169, 152
202201020800, 172, 149
202201020815, 175, 152
202201020830, 186, 154
202201020845, 166, 149
202201020900, 192, 134
202201020915, 183, 138
202201020930, 192, 131
202201020945, 174, 140
202201021000, 184, 150
202201021015, 188, 132
202201021030, 187, 130
202201021045, 175, 125
202201021100, 193, 154
202201021115, 166, 125
202201021130, 178, 145
202201021145, 184, 136
202201021200, 171, 153
202201021215, 189, 143
202201021230, 190, 141
202201021245, 166, 141
202201021300, 177, 146
202201021315, 174, 138
202201021330, 190, 139
202201021345, 176, 138
202201021400, 180, 146
202201021415, 167, 131
202201021430, 172, 131
202201021445, 169, 137
202201021500, 174, 136
202201021515, 187, 151
202201021530, 180, 129
202201021545, 187, 154
202201021600, 167, 150
202201021615, 168, 131
202201021630, 194, 154
202201021645, 179, 125
202201021700, 176, 152
202201021715, 184, 128
202201021730, 171, 126
202201021745, 181, 138
202201021800, 181, 141
202201021815, 189, 153
202201021830, 183, 154
202201021845, 166, 127
202201021900, 194, 147
202201021915, 185, 150
202201021930, 176, 125
202201021945, 189, 149
202201022000, 168, 131
202201022015, 192, 147
202201022030, 187, 142
202201022045, 165, 134
202201022100, 189, 125
202201022115, 192, 135
202201022130, 191, 153
202201022145, 174, 128
202201022200, 179, 129
202201022215, 177, 148
202201022230, 171, 148
202201022245, 183, 154
202201022300, 185, 125
202201022315, 176, 135
202201022330, 175, 146
202201022345, 177, 150
202201030000, 183, 138
202201030015, 177, 128
202201030030, 190, 128
202201030045, 179, 131
202201030100, 165, 134
202201030115, 179, 132
202201030130, 171, 126
202201030145, 171, 140
202201030200, 176, 127
202201030215, 176, 143
202201030230, 170, 137
202201030245, 170, 147
202201030300, 186, 140
202201030315, 168, 142
202201030330, 185, 130
202201030345, 165, 147
202201030400, 185, 130
202201030415, 171, 148
202201030430, 185, 151
202201030445, 166, 125
202201030500, 185, 141
202201030515, 191, 138
202201030530, 193, 149
202201030545, 189, 136
202201030600, 169, 130
202201030615, 179, 134
202201030630, 188, 134
202201030645, 174, 128
202201030700, 182, 129
202201030715, 171, 143
202201030730, 189, 136
202201030745, 194, 133
202201030800, 184, 140
202201030815, 180, 154
202201030830, 183, 137
202201030845, 183, 127
202201030900, 193, 140
202201030915, 185, 152
202201030930, 169, 126
202201030945, 173, 137
202201031000, 185, 150
202201031015, 188, 127
202201031030, 167, 127
202201031045, 176, 133
202201031100, 171, 126
202201031115, 179, 145
202201031130, 175, 139
202201031145, 183, 147
